	sp_id	hh_size	latitude	longitude	location	mo_name
939234	372817	1	55.195042669	61.314033374	POINT (61.314033374 55.195042669)	Kurchatovskiy rayon
902008	358010	2	55.192465087	61.366969152	POINT (61.366969152 55.192465087)	Kurchatovskiy rayon
838853	332948	2	55.18832525	61.36988695	POINT (61.36988695 55.18832525)	Kurchatovskiy rayon
956459	379673	5	55.196207257	61.299443732	POINT (61.299443732 55.196207257)	Kurchatovskiy rayon
879407	349071	1	55.190608754	61.275768637	POINT (61.275768637 55.190608754)	Kurchatovskiy rayon
838172	332681	3	55.188278539	61.287507419	POINT (61.287507419 55.188278539)	Kurchatovskiy rayon
1018575	404386	3	55.209424809	61.269998155	POINT (61.269998155 55.209424809)	Kurchatovskiy rayon
884797	351203	3	55.190887207	61.376200454	POINT (61.376200454 55.190887207)	Kurchatovskiy rayon
915782	363488	3	55.193246793	61.352651055	POINT (61.352651055 55.193246793)	Kurchatovskiy rayon
772159	306452	3	55.184382342	61.385277212	POINT (61.385277212 55.184382342)	Kurchatovskiy rayon
1011056	401388	3	55.208501194	61.287755318	POINT (61.287755318 55.208501194)	Kurchatovskiy rayon
1000837	397321	7	55.205765879	61.277334394	POINT (61.277334394 55.205765879)	Kurchatovskiy rayon
933034	370354	5	55.194851809	61.284694967	POINT (61.284694967 55.194851809)	Kurchatovskiy rayon
893344	354586	3	55.191511041	61.276096312	POINT (61.276096312 55.191511041)	Kurchatovskiy rayon
826861	328182	6	55.187673619	61.289446396	POINT (61.289446396 55.187673619)	Kurchatovskiy rayon
852527	338381	4	55.1892261	61.3635472	POINT (61.3635472 55.1892261)	Kurchatovskiy rayon
917862	364317	4	55.19336435	61.330142863	POINT (61.330142863 55.19336435)	Kurchatovskiy rayon
795001	315526	3	55.1855236	61.27539485	POINT (61.27539485 55.1855236)	Kurchatovskiy rayon
904464	358987	3	55.192531032	61.284653766	POINT (61.284653766 55.192531032)	Kurchatovskiy rayon
1036876	411674	5	55.215841259	61.279533906	POINT (61.279533906 55.215841259)	Kurchatovskiy rayon
994242	394703	2	55.202899232	61.316511018	POINT (61.316511018 55.202899232)	Kurchatovskiy rayon
925285	367262	4	55.194018424	61.342027881	POINT (61.342027881 55.194018424)	Kurchatovskiy rayon
964442	382844	3	55.196790681	61.309329875	POINT (61.309329875 55.196790681)	Kurchatovskiy rayon
897736	356323	3	55.191859642	61.339703185	POINT (61.339703185 55.191859642)	Kurchatovskiy rayon
1059199	420456	3	55.235802175	61.306100198	POINT (61.306100198 55.235802175)	Kurchatovskiy rayon
