	sp_id	sp_hh_id	age	sex	work_id
157	509433	62	70	M	X
158	440967	62	59	M	X
159	440966	62	59	M	X
164	462550	64	62	M	X
165	434320	64	58	M	X
166	434319	64	58	M	X
167	434318	64	58	M	X
168	428181	64	57	M	X
509	177269	208	26	M	31
510	212554	208	31	M	31
542	963146	219	54	F	34
543	171695	219	25	M	34
544	149956	219	21	M	34
545	963147	219	54	F	34
609	98726	243	13	M	55
610	98727	243	13	M	45
649	780375	257	34	F	41
674	1183979	268	89	F	X
675	1144340	268	76	F	X
676	948427	268	52	F	41
677	533175	268	78	M	X
696	132709	276	18	M	42
697	861576	276	42	F	42
698	760141	276	32	F	43
699	1139208	276	75	F	X
1002	253040	395	35	M	62
1136	699636	448	23	F	70
1137	699635	448	23	F	70
1138	1029607	448	62	F	X
1257	48749	499	7	M	29
1258	475947	499	64	M	X
1259	1187124	499	92	F	X
1260	812029	499	37	F	79
1513	293655	588	39	M	94
1514	57498	588	8	M	44
1515	1139211	588	75	F	X
1516	222018	588	32	M	94
1555	1151544	608	79	F	X
1556	375803	608	49	M	98
1557	416113	608	55	M	98
1558	177276	608	26	M	98
1559	842448	608	40	F	98
1560	898044	608	46	F	98
1576	1001470	615	59	F	98
1577	447891	615	60	M	X
1687	1154406	658	80	F	X
1907	742423	746	30	F	119
1930	1118887	754	72	F	X
2006	410121	784	54	M	124
2007	688904	784	21	F	124
2008	970303	784	55	F	124
2009	352730	784	46	M	125
2010	575707	784	5	F	X
2013	440978	786	59	M	X
2100	98738	821	13	M	48
2418	475955	943	64	M	X
2419	83392	943	11	M	105
2420	336816	943	44	M	150
2421	40172	943	6	M	X
2422	832802	943	39	F	150
2423	575711	943	5	F	X
2473	1019645	964	61	F	X
2474	440981	964	59	M	X
2500	416120	975	55	M	154
2501	311431	975	41	M	154
2502	963157	975	54	F	154
2541	624435	991	11	F	80
2542	624434	991	11	F	38
2543	196221	991	29	M	157
2544	888943	991	45	F	157
2545	253050	991	35	M	157
2554	390263	995	51	M	158
2555	410124	995	54	M	158
2556	390262	995	51	M	158
2557	428195	995	57	M	X
2558	390261	995	51	M	158
2763	360678	1075	47	M	172
2873	955995	1123	53	F	177
2874	955994	1123	53	F	178
2875	955993	1123	53	F	178
