	0
0	0
1	0
2	0
3	0
4	0
5	21
6	0
7	0
8	15
9	3
10	30
11	9
12	30
13	123
14	30
15	123
16	924
17	483
18	1038
19	1635
20	1116
21	1581
22	3669
23	1257
24	837
25	4773
26	4524
27	21318
28	26913
29	7494
30	31338
31	43626
32	18789
33	61350
34	9018
35	136620
36	47868
37	43815
38	100926
39	2064
40	101811
41	52317
42	1896
43	54579
44	87426
45	22206
46	2790
47	55059
48	24
49	4827
50	56037
51	162
52	699
53	1374
54	1377
55	5526
56	2184
57	10518
58	9
59	2526
60	2868
61	492
62	42
63	2400
64	408
65	42
66	576
67	39
68	6
69	366
70	120
71	63
72	183
73	0
74	12
75	66
76	90
77	159
78	0
79	141
80	0
81	3
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
