H1N1	H3N2	B
21	0	0
35	0	0
54	0	0
94	0	0
140	0	0
221	0	0
251	0	0
382	0	0
441	0	0
515	0	0
590	0	0
683	0	0
807	0	0
1218	0	0
1501	0	0
1676	0	0
1875	0	0
2810	0	0
3198	0	0
3735	0	0
5429	0	0
5891	0	0
7265	0	0
7500	0	0
7516	0	0
7070	0	0
6961	0	0
6782	0	0
6249	0	0
5286	0	0
2857	0	0
2953	0	0
2869	0	0
2620	0	0
2563	0	0
2419	0	0
803	0	0
696	0	0
626	0	0
295	0	0
295	0	0
190	0	0
202	0	0
138	0	0
108	0	0
45	0	0
42	0	0
37	0	0
37	0	0
25	0	0
2	0	0
1	0	0
1	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
