date,n_infectious,new_diagnoses,cum_diagnoses,new_deaths,cum_deaths,cum_tests,new_tests,n_critical,ventilation
2020-03-03,20,11,11,0,0,344,344,0,
2020-03-04,27,9,20,0,0,1414,1070,0,
2020-03-05,40,16,36,0,0,1932,518,0,
2020-03-06,50,12,48,0,0,2645,713,0,
2020-03-07,65,17,65,0,0,3769,1124,0,
2020-03-08,87,26,91,0,0,4398,629,0,
2020-03-09,118,45,136,0,0,5014,616,0,
2020-03-10,160,50,186,0,0,6075,1061,0,
2020-03-11,214,67,253,0,0,6360,285,0,
2020-03-12,316,120,373,0,0,7018,658,0,
2020-03-13,440,142,515,0,0,8453,1435,0,
2020-03-14,707,306,821,0,0,8848,395,0,
2020-03-15,1030,365,1186,0,0,9808,960,0,
2020-03-16,1412,427,1613,0,0,10362,554,0,
2020-03-17,1919,600,2213,0,0,11050,688,0,
2020-03-18,2525,690,2903,0,0,12214,1164,0,
2020-03-19,3370,971,3874,0,0,12950,736,0,
2020-03-20,4831,1746,5620,0,0,13498,548,0,
2020-03-21,6725,2315,7935,0,0,14044,546,0,
2020-03-22,8760,2437,10372,0,0,14763,719,0,
2020-03-23,12771,4818,15190,0,0,15356,593,0,
2020-03-24,18274,6857,22047,0,0,15906,550,0,
2020-03-25,26614,10632,32679,0,0,16982,1076,0,
2020-03-26,34001,8962,41641,0,0,18067,1085,0,
2020-03-27,46591,15490,57131,0,0,18759,692,0,
2020-03-28,53135,7862,64993,0,0,19255,496,0,
2020-03-29,65052,15185,80178,0,0,20040,785,0,
2020-03-30,74005,11536,91714,0,0,21399,1359,0,
2020-03-31,99145,38474,130188,0,0,22427,1028,0,
2020-04-01,107350,16249,146437,0,0,23499,1072,0,
2020-04-02,116821,23403,169840,0,0,23985,486,0,
2020-04-03,123655,17598,187438,0,0,24654,669,0,
2020-04-04,136852,30562,218000,0,0,25025,371,0,
2020-04-05,150795,24937,242937,0,0,25782,757,0,
2020-04-06,153766,15863,258800,0,0,26825,1043,0,
2020-04-07,168550,30026,288826,0,0,27468,643,0,
2020-04-08,150445,15703,304529,0,0,28030,562,0,
2020-04-09,150353,14289,318818,0,0,29002,972,0,
2020-04-10,146030,18163,336981,0,0,29961,959,0,
2020-04-11,137428,5593,342574,0,0,30437,476,0,
2020-04-12,127216,19895,362469,0,0,31213,776,0,
2020-04-13,109760,3533,366002,0,0,32246,1033,0,
2020-04-14,109515,17168,383170,0,0,33285,1039,0,
2020-04-15,90619,7243,390413,0,0,34300,1015,0,
2020-04-16,83835,8403,398816,0,0,34672,372,0,
2020-04-17,76896,6796,405612,0,0,35430,758,0,
2020-04-18,64997,3336,408948,0,0,36474,1044,0,
2020-04-19,61813,2256,411204,0,0,37118,644,0,
2020-04-20,46937,2116,413320,0,0,37681,563,0,
2020-04-21,45499,2306,415626,0,0,38654,973,0,
2020-04-22,31263,1227,416853,0,0,39614,960,0,
2020-04-23,27463,3693,420546,0,0,40091,477,0,
2020-04-24,20513,605,421151,0,0,40868,777,0,
2020-04-25,15315,995,422146,0,0,41902,1034,0,
2020-04-26,12808,609,422755,0,0,42942,1040,0,
2020-04-27,11397,559,423314,0,0,43958,1016,0,
2020-04-28,9703,269,423583,0,0,44331,373,0,
2020-04-29,7872,318,423901,0,0,45090,759,0,
2020-04-30,6864,168,424069,0,0,46135,1045,0,
2020-05-01,3459,175,424244,0,0,46780,645,0,
2020-05-02,3129,283,424527,0,0,47344,564,0,
2020-05-03,2287,72,424599,0,0,48318,974,0,
2020-05-04,1884,182,424781,0,0,49279,961,0,
2020-05-05,1432,83,424864,0,0,49757,478,0,
2020-05-06,1236,50,424914,0,0,50535,778,0,
2020-05-07,1002,62,424976,0,0,51570,1035,0,
2020-05-08,906,65,425041,0,0,52611,1041,0,
2020-05-09,772,29,425070,0,0,53628,1017,0,
2020-05-10,549,51,425121,0,0,54002,374,0,
2020-05-11,513,34,425155,0,0,54762,760,0,
2020-05-12,371,30,425185,0,0,55808,1046,0,
2020-05-13,306,8,425193,0,0,56454,646,0,
2020-05-14,286,34,425227,0,0,57019,565,0,
2020-05-15,239,10,425237,0,0,57994,975,0,
2020-05-16,185,6,425243,0,0,58956,962,0,
2020-05-17,163,4,425247,0,0,59435,479,0,
2020-05-18,126,10,425257,0,0,60214,779,0,
2020-05-19,102,7,425264,0,0,61250,1036,0,
2020-05-20,76,7,425271,0,0,62292,1042,0,
2020-05-21,71,2,425273,0,0,63310,1018,0,
2020-05-22,46,7,425280,0,0,63685,375,0,
2020-05-23,37,1,425281,0,0,64446,761,0,
2020-05-24,34,2,425283,0,0,65493,1047,0,
2020-05-25,31,1,425284,0,0,66140,647,0,
2020-05-26,23,1,425285,0,0,66706,566,0,
2020-05-27,17,1,425286,0,0,67682,976,0,
2020-05-28,11,1,425287,0,0,68645,963,0,
2020-05-29,11,1,425288,0,0,69125,480,0,
2020-05-30,4,0,425288,0,0,69905,780,0,
2020-05-31,4,0,425288,0,0,70942,1037,0,
2020-06-01,3,0,425288,0,0,71985,1043,0,
